Begge	PRON	O
brødre	NOUN	B-noun.person
led	VERB	B-verb.phenomenon
martyrdøden	ADJ	B-noun.phenomenon
ved	ADP	O
halshugning	NOUN	B-noun.act
.	.	O

(	.	O
sko	NOUN	B-noun.artifact
)	.	O
.	.	O

1	NUM	O

Det	PRON	O
er	VERB	B-verb.stative
,	.	O
hvad	PRON	O
de	PRON	O
er	VERB	O
udviklet	VERB	B-verb.creation
til	ADP	O
at	PRT	O
kunne	VERB	B-verb.stative
.	.	O

Svar	NOUN	O
<COLON>	.	O

Siden	ADV	O
har	VERB	O
Depeche	NOUN	B-noun.person
Mode	NOUN	I-noun.person
med	ADP	O
'	NOUN	O
Sounds	NOUN	B-noun.communication
Of	NOUN	I-noun.communication
The	NOUN	I-noun.communication
Universe	NOUN	I-noun.communication
'	NOUN	I-noun.communication
,	.	O
som	PRT	O
udkommer	VERB	B-verb.change
mandag	NOUN	B-noun.time
,	.	O
udgivet	VERB	B-verb.communication
12	NUM	O
studiealbum	NOUN	B-noun.communication
,	.	O
4	NUM	O
greatest	X	B-noun.communication
hitsopsamlinger	X	I-noun.communication
og	CONJ	O
et	PRON	O
remix	NOUN	B-noun.communication
-	.	I-noun.communication
album	NOUN	I-noun.communication
.	.	O

Der	PRT	O
er	VERB	B-verb.stative
næsten	ADV	O
ingen	PRON	O
grænser	NOUN	B-noun.abstract
for	ADP	O
,	.	O
hvad	PRON	O
danskerne	NOUN	B-noun.person
vil	VERB	O
anmelde	VERB	B-verb.communication
stjålet	VERB	B-adj.all
på	ADP	O
nettet	NOUN	B-noun.communication
.	.	O

Men	CONJ	O
den	PRON	O
historie	NOUN	B-noun.communication
giver	VERB	B-verb.cognition
præsidenten	NOUN	B-noun.person
for	ADP	O
Det	PRON	B-noun.institution
Rumænske	ADJ	I-noun.institution
Håndboldforbund	NOUN	I-noun.institution
ikke	ADV	B-verb.COLL
meget	ADJ	B-verb.COLL
for	ADP	B-verb.COLL
.	.	O

Det	PRON	O
viser	VERB	B-verb.communication
en	PRON	O
test	NOUN	B-noun.act
af	ADV	O
forme	VERB	B-noun.container
til	ADP	O
muffins	NOUN	B-noun.food
,	.	O
som	PRT	O
Karolines	NOUN	B-noun.institution
Køkken	NOUN	I-noun.institution
i	ADP	O
Århus	NOUN	B-noun.location
har	VERB	O
foretaget	VERB	B-verb.act
for	ADP	O
Politikens	NOUN	B-noun.institution
forbrugersite	NOUN	B-noun.communication
,	.	O
Tjek	NOUN	B-noun.communication
.	.	I-noun.communication
dk	NOUN	I-noun.communication
,	.	O
ved	ADP	O
at	PRT	O
bage	VERB	B-verb.creation
sig	PRON	O
igennem	ADP	O
syv	NUM	O
forme	VERB	B-noun.container
.	.	O

2	NUM	O
.	.	O
082	NUM	O
.	.	O

fejl	NOUN	B-noun.attribute
.	.	O

"	.	O
Brancherne	NOUN	B-noun.institution
har	VERB	O
en	PRON	O
interesse	NOUN	B-noun.motive
i	ADP	O
at	PRT	O
gøre	VERB	B-verb.change
det	PRON	O
så	ADV	O
besværligt	ADJ	B-adj.all
som	PRT	O
muligt	ADJ	O
at	PRT	O
sige	VERB	B-verb.communication
fra	ADP	B-verb.PARTICLE
over	ADV	O
for	ADP	O
reklamer	NOUN	B-noun.communication
,	.	O
for	CONJ	O
så	ADV	O
kan	VERB	O
de	PRON	O
tjene	VERB	B-verb.possession
flere	ADJ	O
penge	NOUN	B-noun.artifact
"	.	O
,	.	O
fortsætter	VERB	B-verb.communication
han	PRON	O
.	.	O

43	NUM	O
læserbreve	NOUN	B-noun.communication
og	CONJ	O
debatindlæg	NOUN	B-noun.communication
.	.	O

Han	PRON	O
lød	VERB	B-verb.perception
konstruktiv	ADJ	B-adj.mental
og	CONJ	O
